8MHZ_OSC	36.78	51.48	90.00	ECS-80-18-5PXDN-TR	XTAL_ECS-80-18-5PXDN-TR
BATTERY-CONNECTOR	73.42	9.82	270.00	B3B-PH-SM4-TB(LF)(SN)	JST_B3B-PH-SM4-TB(LF)(SN)
BATTERY_LOW	52.98	33.88	270.00	RED	1206
C1	40.99	57.96	270.00	6pF	C0603
C10	26.23	36.96	0.00	1uF	C0603
C11	26.84	14.41	180.00	22uF	C0603
C12	32.20	36.96	180.00	1uF	C0603
C13	10.51	58.72	180.00	100nF	C0603
C14	10.54	61.80	180.00	100nF	C0603
C15	56.10	43.34	180.00	100nF	C0603
C17	16.47	44.49	0.00	68pF	C0603
C18	27.18	5.37	180.00	10uF	C0603
C19	49.06	6.97	270.00	10uF	C0603
C2	40.97	54.63	270.00	6pF	C0603
C20	65.40	18.24	90.00	0.1uF	C0603
C21	20.08	8.83	0.00	100nF	C0603
C22	20.09	11.68	0.00	100nF	C0603
C23	20.12	14.40	0.00	100nF	C0603
C24	21.01	47.52	270.00	18pF	C0603
C25	12.62	42.15	0.00	10uF	C0603
C26	12.67	44.52	0.00	100nF	C0603
C3	46.25	6.97	270.00	10uF	C0603
C30	71.33	42.66	180.00	10uF	C0603
C31	71.27	45.16	180.00	100nF	C0603
C32	43.39	6.97	270.00	100nF	C0603
C34	6.36	48.63	90.00	68pF	C0603
C35	47.63	59.51	0.00	100nF	C0603
C4	43.86	54.61	90.00	18pF	C0603
C5	43.93	51.44	270.00	18pF	C0603
C6	60.83	56.32	270.00	100nF	C0603
C7	48.81	43.43	180.00	100nF	C0603
C8	65.47	66.88	270.00	100nF	C0603
C9	43.98	48.04	90.00	100nF	C0603
CR3	37.84	16.00	270.00	CUS10S30	USC_TOS
CS	8.85	48.67	270.00	100nF	C0603
FERRITE_BEAD	44.02	43.79	90.00	80	L3216C
J3	13.15	7.79	0.00	EJ503B	CONN_EJ503B_MPD
L2	5.96	43.74	90.00	10uH	L3225M
POWER_STATUS	65.38	12.71	90.00	GREEN	1206
Q1	47.10	14.40	90.00	FDS6375	SOIC127P600X175-8N
Q2	47.06	22.49	270.00	FDS6375	SOIC127P600X175-8N
R10	53.08	39.51	90.00	510	R0603
R11	71.42	61.81	0.00	4K7	R0603
R12	71.40	57.85	0.00	4K7	R0603
R13	71.38	50.37	0.00	4K7	R0603
R14	71.36	53.89	0.00	4K7	R0603
R15	71.44	66.07	0.00	4K7	R0603
R17	61.41	43.41	0.00	1k	R0603
R18	26.22	33.86	180.00	100k	R0603
R19	60.46	6.84	270.00	100K	R0603
R2	54.98	66.86	90.00	4K7	R0603
R20	65.38	6.83	90.00	500	R0603
R21	55.39	6.83	90.00	100m	R0603
R22	53.06	21.22	90.00	1M	R0603
R23	53.06	27.80	90.00	1M	R0603
R24	16.78	59.36	0.00	10K	R0603
R25	16.76	62.99	0.00	10K	R0603
R26	32.24	33.75	180.00	100k	R0603
R27	8.87	44.53	270.00	1k	R0603
R28	16.72	66.66	0.00	10K	R0603
R3	47.84	66.84	270.00	22	R0603
R4	62.10	66.83	270.00	22	R0603
R5	51.38	66.84	270.00	22	R0603
R6	58.52	66.84	270.00	22	R0603
R7	40.13	6.97	90.00	470k	R0603
R8	50.91	59.50	0.00	10K	R0603
R9	40.93	48.03	90.00	0	R0603
RESET_BUTTON	69.52	74.12	180.00	PTS645SM43SMTR	PTS645SM43SMTR
RTC_OSC	38.37	64.99	180.00	ABS25-32.768KHZ-6-T	XTAL_ABS25-32.768KHZ-6-T
RV	10.51	55.76	0.00	200k	R0603
U1	52.86	51.54	0.00	STM32L476RGT6TR	LQFP64-10X10MM
U2	15.26	49.77	90.00	HTRC11001TSOT108-1_NXP-M	SOT108-1_NXP-M
U3	58.01	14.08	90.00	MCP73844-820I/MS	MSOP8_MC_MCH
U4	12.95	19.47	90.00	BA90BC0FP-E2	TO252-3_ROM
U5	24.31	30.45	180.00	MIC5216-5.0YMM	MSOP8_MM_MCH
U7	34.35	28.61	0.00	MIC5216-3.3YMM	MSOP-8_MM_MCL
